"id","foreign_id","key","value","model","modified","created"
"1","14","PetitCustomField.event_day_start","2014/12/11","PetitCustomField","2015-06-25 11:23:30","2015-04-16 20:29:54"
"2","14","PetitCustomField.event_day_end","2014/12/12","PetitCustomField","2015-06-25 11:23:30","2015-04-16 20:29:54"
"5","23","PetitCustomField.event_day_start","2015/07/25","PetitCustomField","2015-07-15 10:35:24","2015-06-19 12:30:05"
"6","23","PetitCustomField.event_day_end","","PetitCustomField","2015-07-15 10:35:24","2015-06-19 12:30:05"
"7","25","PetitCustomField.event_day_start","2015/06/19","PetitCustomField","2015-06-25 11:32:31","2015-06-25 11:18:01"
"8","25","PetitCustomField.event_day_end","","PetitCustomField","2015-06-25 11:32:31","2015-06-25 11:18:01"
"9","29","PetitCustomField.event_day_start","2015/08/08","PetitCustomField","2015-09-26 14:53:44","2015-07-25 13:25:16"
"10","29","PetitCustomField.event_day_end","2015/08/09","PetitCustomField","2015-09-26 14:53:44","2015-07-25 13:25:16"
"11","31","PetitCustomField.event_day_start","2015/09/05","PetitCustomField","2015-09-26 14:53:14","2015-08-07 10:14:52"
"12","31","PetitCustomField.event_day_end","","PetitCustomField","2015-09-26 14:53:14","2015-08-07 10:14:52"
"13","34","PetitCustomField.event_day_start","2015/09/30","PetitCustomField","2015-09-26 15:27:07","2015-08-18 12:33:34"
"14","34","PetitCustomField.event_day_end","2016/02/12","PetitCustomField","2015-09-26 15:27:07","2015-08-18 12:33:34"
"15","35","PetitCustomField.event_day_start","2015/09/30","PetitCustomField","2015-09-26 15:27:34","2015-08-24 17:44:08"
"16","35","PetitCustomField.event_day_end","","PetitCustomField","2015-09-26 15:27:34","2015-08-24 17:44:08"
"17","36","PetitCustomField.event_day_start","2015/10/09","PetitCustomField","2015-09-26 14:53:56","2015-08-24 18:18:02"
"18","36","PetitCustomField.event_day_end","","PetitCustomField","2015-09-26 14:53:56","2015-08-24 18:18:02"
