"id","type","model","model_id","category","title","detail","url","status","priority","created","modified"
"4","ブログ","BlogContent","1","","お知らせ","AIPの最新情報をお届けします。","/news/index","1","0.5","2015-02-03 22:14:14","2015-06-03 14:41:49"
"5","メール","MailContent","1","","お問い合わせ","お問い合わせはお電話か次のお問い合わせフォームより承ります。電話番号 092-986-2834（受付時間 平日10:00～17:00）お問い合わせフォーム","/contact/index","1","0.5","2015-02-03 22:14:14","2015-07-02 18:17:21"
"6","ページ","Page","1","","Index","","/index","1","0.5","2015-02-03 22:14:14","2015-09-26 14:32:20"
"7","ページ","Page","11","プロジェクト支援","プロジェクト支援","どんなに「知識」を得ても、どんなにコミュニティを通じて仲間が出来て、そこで「人間性」を磨いても、実際に実務に携わらないと、その知識や人間性は絵に描いた餅となってしまいます。 そこでAIPでは、実際に私たちが住んでいる福岡という街をITコミュニティの力を通じて、より住みやすく、より楽しくなるような、プロジェクトを実際に実施する主体として活動してきています。 これが、AIPの理念の３つめである「経験」を積むための「プロジェクト支援」です。AIPのプロジェクト支援実績進行中天神・大名WiFi化プロジェクトITコミュニティの力で福岡をより住みやすく、より楽しくしたい「AIP」の理念と、日本でWiFiデンシティ（密集地）都市をITコミュニティの力を借りて作りたいFON JAPAN　の思いが重なり、日本で初めて、「街をまるごとWiFi化」するプロジェクトが、通信会社でも、自治体でもなく、ITコミュニティとNPO主導で始まりました。西日本新聞の一面で取り上げられるなどの反響が反響を呼び、最終的には120箇所のWiFiスポットを、天神・大名地域につくることが出来、この中で築いた商店街とのネットワークが次なるプロジェクト「大名なう」へつながることになります。このプロジェクトの狙いや思いについては、コミュニティメンバーが 素敵なイラストで表現してくれていますので、是非ごらんください。進行中大名なう天神・大名WiFi化プロジェクトでつながった商店街の皆さんと、ITを使って大名地域をもっと盛り上げたい、お客さんに来てほしい、ということで「天神・大名WiFi化プロジェクト」名義で始まったプロジェクトです。その頃日本でブレイクしはじめたTwitterを使って、街の情報を発信すれば、IT利用に興味が無い商店街の方も、気軽に使えるのではないか、ということで、大名のお店に「#daimyo 」というハッシュタグを使ってTwitterで呟いてもらうプロジェクトを開始しました。こちらは、「日本初の Twitterによる地域街おこし」としてテレビの全国放送にも取り上げられることになり、活動開始から二ヶ月は毎週何らかの取材、TVへの出演などを果たすことになり、多くの参加店が、直接的な売上げの向上のみならず、新規顧客の獲得、参加店の間のコミュニティ組成による、新規イベント発生などの効果をえることが出来ました。概要については、情報白書に取り上げられているので、そちらをご覧ください。なお、このプロジェクトは現在でも、新しいSNSの勉強会などのかたち（「大名なう勉強会」）などで続いています。","/project/index","1","0.5","2015-03-11 22:15:10","2015-05-27 14:03:05"
"8","ページ","Page","12","コミュニティ支援","コミュニティ支援","AIPの理念の一つ「人間性」を育む場がコミュニティです。教育の大きな核となるITコミュニティへの支援の具体的な活動として、ITコミュニティがまだ全国的にも無かった10年以上前から「AIPコミュニティ」を設立し運営を行い、コミュニティの勉強会や意見交換が出来る場として、現在のシェアカフェにつながるようなコンセプトの「AIPCafe」を運営し、さらに実ビジネスをコミュニティベースで行う実験として（この活動は現在ではコミュニティ経済と言われる概念の走りである）人と街を繋げる「天神・大名WiFi化協議会」や「大名なう」などの活動を実施してきました。この活動の中で培った、コミュニティ運営、場作り、地域活性などのノウハウを活かし、様々な支援を行っています。AIPのコミュニティ支援実績 継続中CODE FOR FUKUOKA支援内容：運営、会場提供、広報CodeForFukuoka公式サイト 継続中スタートアップカフェ支援内容：アンバサダーコンシェルジュとして起ち上げ、企画、運営をサポートスタートアップカフェ公式サイト 継続中StartupSupporters支援内容運営、会場提供支援したコミュニティ一覧FWW(Fukuoka Web Workers)Ruby Business CommonsソフトウェアビジネスラボWordBench福岡水曜どうしよう大名なう勉強会合同新人研修コミュニティTechWave塾コミュニティ福岡県情報サービス産業協会(FISA)ふくあずStartupSupprtersコミュニティFukuoka Frontend FrogsCode For Fukuoka","/community/index","1","0.5","2015-03-11 22:16:23","2015-04-07 21:06:50"
"9","ページ","Page","13","教育事業","教育事業","AIPの理念の一つ「知識」を得る場としてコミュニティ形成も軸に置いた合同新人研修をはじめ、これから必ず必要になるであろう知識・技術、コアメンバー育成のためのキャリア教育など、NPOだからこそできる特色ある講座をご用意しています。どの講座も最前線でビジネスを行っているコミュニティメンバーが講師となり、そのノウハウを落とし込んだまさに実ビジネスのためのカリキュラムです。また単なる講座を提供するだけでなく、将来のコアメンバー育成のための教育によるキャリアフォローをご提案しています。合同新人研修から始まり、フォローアップ研修、３年目教育、マネージャ育成とコアメンバーに必要となる様々な教育を実ビジネスに沿った内容でご提供いたします。AIPの教育事業新人教育AIPの新人研修にかける想いは２つ、「高い品質の教育を福岡で提供したい」「新人の頃から多くの絆を作れる場を提供したい」です。この想いを元に2005年から毎年合同新人研修を実施しています。高い品質とリーズナブルな価格、そして将来のコアメンバー育成の為の幅広い内容とコミュニティ育成。一企業では実現が難しい事でも、多くの企業が協力して運営するNPOのAIPだからこそできる教育です。新人教育の詳細講座AIPがご提供する講座は座学だけでなく、ハンズオンを伴う実践型講座です。説明を聴いて終わりではなく、実際に頭と手を動かして頂いて、講座終了後も自らの手で学習を進めていけるきっかけをしっかりとご提供します。特定の技術をターゲットとした講座から、UI/UX、品質向上、マネジメントやファシリテーションなど幅広く、そして実ビジネスに活用できる内容ばかりです。講座一覧講師AIPの教育事業は、講師として多くの企業様、コミュニティからのご協力を頂いています。講師陣の確かなノウハウと多くの経験は、講座を通じて必ず皆様のビジネスにお役に立つものだと考えております。講師一覧","/education/index","1","0.5","2015-03-11 22:17:10","2015-04-02 16:28:46"
"10","ページ","Page","14","教育事業","新人研修","AIPの新人研修にかける想いは２つ、「高い品質の教育を福岡で提供したい」「新人の頃から多くの絆を作れる場を提供したい」です。この想いを元に2005年から毎年合同新人研修を実施しています。高い品質とリーズナブルな価格、そして将来のコアメンバー育成の為の幅広い内容とコミュニティ育成。一企業では実現が難しい事でも、多くの企業が協力して運営するNPOのAIPだからこそできる教育です。AIP合同新人研修３つの特徴カリキュラム詳細対象助成金について講座概要AIP合同新人研修３つの特徴AIPの合同新人研修には他社研修には無い大きな３つの特徴があります。人間性×コミュニティ高品質×低コスト実践型×次世代人間性&times;コミュニティ３ヶ月間かけるからできる日々のヒューマンスキル指導毎日日報を提出、翌日分の提出までに全員を個別指導毎朝３分間スピーチを実施、質疑応答・要約指導も３ヶ月間を通して品質/納期/コストを意識付け目標（品質）とスケジュール（納期）を評価基準にて明確化初日からコストに関する指導を実施、カリキュラム内でも適用新人の頃から将来を見据えたコミュニティ形成合同だからできる会社の垣根を越えたコミュニティ新人研修OG/OBと繋がる新人研修コミュニティ高品質&times;低コストNPOだからできる多くの優秀な講師陣での講義すべての講師が現役のため現場に即した講義内容。教育経験もあるので分かりやすいエンジニア/デザイナー/コンサル等、幅広い講師陣講演会や外部セミナー等に参加することで意識向上を促す福岡/東京のコミュニティから最前線で活躍する人達が講演新人研修コミュニティから先輩達も講演/指導に参加各種助成金等に対応。短期間でも参加できる３コース制キャリア形成促進助成金に対応、その他助成金や奨励金にも３ヶ月間が難しい場合１コースのみ参加やカスタマイズも可能実践型&times;次世代オブジェクト指向の理解と共に納期に対する意識向上オブジェクト指向の理解の為に言語はJavaを選択演習問題すべてに細かい納期を設定、納期への意識を育成プロジェクトベース開発演習でチーム品質とコスト理解４人チームでLEGOを使った演習を実施、チーム品質の理解を促すコストを細かく設定、時間と利益の関係を経験させ理解を促す模擬プロジェクトでプロジェクトの流れとサービスを理解チームでサービスの構築・提案から製造、納品までを経験コンペ形式の製品発表会を実施、３ヶ月間の内容をすべて投入次世代のコアメンバー育成に向け最新技術教育を実施模擬プロジェクトではクラウドサービスを利用UI/UXやソーシャルメディア、マーケティング等の講座も実施カリキュラム詳細SEパーソナル教育コース(8日間/64時間)SE向けビジネス文章、SE向けビジネスマナー、情報の取り方、プレゼンテーション演習、ロジカルシンキング、ビジネス会計基礎IT基礎技術教育コース(6日間/48時間)コンピュータ基礎、アルゴリズム、Webサービス理解、開発工程理解、UML講座、データベース理解、ソーシャルメディアマーケティング専門教育コース(44日間/352時間)Java初級・中級(講義+演習+課題)、チーム演習、模擬プロジェクト演習、成果発表会定常教育(毎日/随時)3分間スピーチ(毎朝朝礼時)、日報提出、個人面談、ビジネスマナー指導、セキュリティ意識指導、講演会(4～5回を予定)、各種コミュニティ参加引率※平成27年度は全58日間にて実施詳細スケジュールはこちらを御覧ください。平成27年度AIP合同新人研修スケジュール(PDF/3MB)対象助成金についてAIPの合同新人研修は以下の制度の対象となります。キャリア形成促進助成金新人研修(OFF-JT)と社内でのOJTを合わせた、6ヶ月間の教育訓練計画実施により研究費の最大1/3や賃金助成が支給されます。中小企業労働環境向上助成金雇用管理制度(評価・処遇制度、研修体系制度、健康づくり制度)の導入等に対して30万～40万の助成金が支給されます。講座概要対象・前提知識原則として、2015年4月入社予定の新人の方コース日数3コースすべて受講で 58日(9:00～18:00)コース日程2015年4月6日(月)～6月30日(火)研修会場福岡県Ruby・コンテンツ産業振興センター5F福岡市博多区博多駅東1-17-1 福岡県福岡東総合庁舎持参するもの研修で使用するPC、参考書籍2冊、筆記用具料金SEパーソナル教育コース &yen;150,000(税抜)IT基礎技術教育コース &yen;150,000(税抜)専門教育コース &yen;300,000(税抜)※各コースともキャリア形成助成金適用可能お支払い方法別途お打ち合わせ申込方法電話・FAX・メールにてご連絡ください。折り返し研修担当よりご連絡させて頂き、研修内容の詳しいご説明をさせて頂きます。TEL 092-986-2834 (受付時間 平日:10:00～17:00まで)FAX 092-986-2835e-mail office@npo-aip.or.jp","/education/orientation","1","0.5","2015-03-11 22:18:35","2015-04-02 20:59:01"
"11","ページ","Page","15","教育事業","講師","","/education/teacher","1","0.5","2015-03-11 22:24:08","2015-03-11 22:24:08"
"12","ページ","Page","16","AIPの紹介","AIPの紹介","AIPは、正式名称を非特定営利法人AIPと言い、これからの日本にあって「最高位のIT人材を戦略的に育成し、その人材や知の集約をもとに、IT活用の高度化と地域の活性化を促進する」ことを使命として設立されたNPOです。最高位のIT人材育成とは、単に技術知識を持つことを指すのではなく、ITを使ってビジネスプロセスを改善し、企業価値を上げてゆくために必要となるスキルを、実践的・経験的に身に付けた人材を輩出することであり、その結果企業や自治体に於けるITライフサイクルの全体を通じた、高い視点からのITガバナンスを促進します。2007年にそれまでの講義主体の教育を提供している形から、再スタートをきり、ITコミュニティを核にネットワークを広げ、場やハブとしての役割を担う活動を行ってきました。福岡を拠点に置き、全国、さらにはアジアを対象として事業を展開し、高度IT人材の戦略的な育成によりIT活用の高度化と地域の活性化を促進いたします。","/about/index","1","0.5","2015-03-11 22:25:04","2015-04-07 22:19:29"
"13","ページ","Page","17","AIPの紹介","活動実績","プロジェクト支援LOCAL GOOD FUKUOKA支援内容：プロジェクトの企画、進捗管理、営業、広報／課題収集&amp;掲載／ニュース収集&amp;配信／スキルマッチング大名なうプロジェクトの企画、進捗管理、営業、広報／情報リテラシー育成天神・大名WiFi化支援内容：プロジェクトの企画、進捗管理、広報／情報リテラシー育成コミュニティ支援CODE FOR FUKUOKA支援内容：運営、会場提供、広報スタートアップカフェ支援内容：アンバサダーコンシェルジュとして起ち上げ、企画、運営をサポート","/about/activity","1","0.5","2015-03-11 22:25:38","2015-04-07 21:09:44"
