"id","no","sort","name","user_group_id","url","auth","status","modified","created"
"1","1","1","システム管理","2","/admin/*","","1","","2015-02-03 22:14:16"
"2","2","2","よく使う項目","2","/admin/favorites/*","1","1","","2015-02-03 22:14:16"
"3","3","3","ページ管理","2","/admin/pages/*","1","1","","2015-02-03 22:14:16"
"4","4","4","ページテンプレート読込・書出","2","/admin/pages/*_page_files","","1","","2015-02-03 22:14:16"
"5","5","5","ページカテゴリ管理","2","/admin/page_categories/*","1","1","","2015-02-03 22:14:16"
"6","6","6","新着情報基本設定","2","/admin/blog/blog_contents/edit/1","1","1","","2015-02-03 22:14:16"
"7","7","7","新着情報記事管理","2","/admin/blog/blog_posts/*/1/*","1","1","","2015-02-03 22:14:16"
"8","8","8","新着情報記事プレビュー","2","/admin/blog/blog/preview/1/*","1","1","","2015-02-03 22:14:16"
"9","9","9","新着情報カテゴリ管理","2","/admin/blog/blog_categories/*/1/*","1","1","","2015-02-03 22:14:16"
"10","10","10","新着情報コメント一覧","2","/admin/blog/blog_comments/*/1/*","1","1","","2015-02-03 22:14:16"
"11","11","11","ブログタグ管理","2","/admin/blog/blog_tags/*","1","1","","2015-02-03 22:14:16"
"12","12","12","お問い合わせ基本設定","2","/admin/mail/mail_contents/edit/1","1","1","","2015-02-03 22:14:16"
"13","13","13","お問い合わせ管理","2","/admin/mail/mail_fields/*/1/*","1","1","","2015-02-03 22:14:16"
"14","14","14","お問い合わせ受信メール一覧","2","/admin/mail/mail_messages/*/1/*","1","1","","2015-02-03 22:14:16"
"15","15","15","エディタテンプレート呼出","2","/admin/editor_templates/js","1","1","","2015-02-03 22:14:16"
"16","16","16","アップローダー管理","2","/admin/uploader/*","1","1","2015-02-03 22:36:57","2015-02-03 22:36:57"
"17","17","17","サイトマップXMLクリエーター管理","2","/admin/sitemapxml/*","1","1","2015-02-03 22:37:04","2015-02-03 22:37:04"
"18","18","18","プチ・カスタムフィールドプラグイン管理","2","/admin/petit_custom_field/*","1","1","2015-04-16 20:25:44","2015-04-16 20:25:44"
